REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14HAB,AC_WIDTH,AC_HEIGHT,SPRAG14RCH,ACW,ACH,MaskWidth
19597,29.15501,32.2122,523,0,0,7,5.5,0.4,0
19598,30.02355,32.2066,523,0,0,7,5.5,0.4,0
19599,30.97824,32.1975,524,0,0,7,5.5,0.4,0
19600,31.31468,32.1873,526,4.5,0.3,7,5.5,0.4,0
19601,29.37363,32.1808,527,0,0,7,5.5,0.4,0
19602,29.3948,32.1707,529,0,0,7,5.5,0.4,0
19603,30.35067,22.498,530,0,0,7,5.5,0.4,0
19604,29.88639,22.4913,532,0,0,7,5.5,0.4,0
19605,30.81178,22.4823,532,0,0,7,5.5,0.4,0
19606,29.2261,22.4676,533,0,0,7,5.5,0.4,0
19607,29.57104,22.4463,533,0,0,7,5.5,0.4,0
19608,30.16455,22.4316,534,0,0,7,5.5,0.4,0
19609,29.47294,22.3908,537,0,0,7,5.5,0.4,0
19610,29.52428,11.4482,538,0,0,8,3.3,0.4,0
19611,30.42539,11.4431,538,0,0,8,3.3,0.4,0
19612,29.01345,11.433,541,0,0,8,3.3,0.4,0
19613,29.66394,11.4257,543,0,0,8,3.3,0.4,0
19614,30.38923,11.4185,543,0,0,8,3.3,0.4,0
19615,29.23981,11.4125,543,0,0,8,3.3,0.4,0
19616,29.98277,11.4059,545,0,0,8,3.3,0.4,0
19617,30.86777,11.2465,545,0,0,8,3.3,0.4,0
19618,29.36296,11.2423,547,0,0,8,3.3,0.4,0
19619,30.27157,11.2339,547,0,0,8,3.3,0.4,0
19620,30.66995,11.2262,547,0,0,8,3.3,0.4,0
19621,30.32034,11.2156,550,0,0,8,3.3,0.4,0
19622,30.40615,11.2066,552,0,0,8,3.3,0.4,0
19623,30.03907,11.2012,552,0,0,8,3.3,0.4,0
19624,31.18713,11.1915,552,0,0,8,3.3,0.4,0
19625,30.89153,11.1861,554,0,0,8,3.3,0.4,0
19626,29.30203,11.1783,556,3.5,0.4,8,3.3,0.4,0
19627,30.99445,11.171,556,3.5,0.4,8,3.3,0.4,0
19628,29.94869,11.1575,558,0,0,8,3.3,0.4,0
19629,29.25386,11.1447,558,0,0,8,3.3,0.4,0
19630,29.25658,11.1279,560,0,0,8,3.3,0.4,0
19631,28.81212,11.1227,564,0,0,8,3.3,0.4,0
19632,29.65269,11.1146,567,0,0,8,3.3,0.4,0
19633,29.94527,11.0961,567,0,0,8,3.3,0.4,0
19634,28.89329,11.0865,567,0,0,9,3.0999999,0.3,0
19635,30.6666,10.9061,571,0,0,9,3.0999999,0.3,0
19636,31.0633,10.8993,574,0,0,9,3.0999999,0.3,0
19637,31.08864,10.8895,574,0,0,9,3.0999999,0.3,0
19638,30.97342,10.8816,574,0,0,9,3.0999999,0.3,0
19639,28.94435,10.8738,574,0,0,9,3.0999999,0.3,0
19640,30.0763,10.8646,575,0,0,9,3.0999999,0.3,0
19641,29.45112,10.8565,580,0,0,9,3.0999999,0.3,0
19642,31.04609,10.8469,581,0,0,9,3.0999999,0.3,0
19643,30.15504,10.839,582,0,0,9,3.0999999,0.3,0
19644,30.41701,10.8289,582,0,0,9,3.0999999,0.3,0
19645,29.44755,10.8175,584,0,0,9,3.0999999,0.3,0
19646,30.53871,10.8077,586,3.2,0.3,9,3.0999999,0.3,0
19647,30.18678,10.8038,588,0,0,9,3.0999999,0.3,0
19648,31.2129,10.7892,589,0,0,9,3.0999999,0.3,0
19649,29.5489,10.7768,592,0,0,9,3.0999999,0.3,0
19650,30.72573,10.7728,592,0,0,9,3.0999999,0.3,0
19651,31.08975,10.7663,594,0,0,10,4,0.5,0
19652,30.90695,10.755,594,0,0,10,4,0.5,0
19653,30.75225,10.7431,595,0,0,10,4,0.5,0
19654,30.32176,10.7339,597,0,0,10,4,0.5,0
19655,30.3551,10.7194,598,0,0,10,4,0.5,0
19656,29.66892,10.7097,601,0,0,10,4,0.5,0
19657,30.31731,10.6989,601,0,0,10,4,0.5,0
19658,29.54416,10.684,602,0,0,10,4,0.5,0
19659,29.86885,10.6688,605,0,0,10,4,0.5,0
19660,30.0445,10.6145,607,0,0,10,4,0.5,0
